Freq (MHz),re(S11),im(S11),re(Z),im(Z)
3160.961,-0.35870,-0.46575,15.861,-22.576
3166.767,-0.37970,-0.43252,15.994,-20.689
3172.573,-0.39238,-0.39907,16.368,-19.022
3178.378,-0.40089,-0.36420,16.864,-17.383
3184.184,-0.40389,-0.33091,17.481,-15.906
3189.990,-0.40482,-0.29817,18.115,-14.457
3195.796,-0.40109,-0.26789,18.856,-13.165
3201.602,-0.39372,-0.24082,19.670,-12.038
3207.407,-0.38827,-0.21734,20.309,-11.007
3213.213,-0.37462,-0.19185,21.357,-9.959
3219.019,-0.36488,-0.17024,22.144,-8.998
3224.825,-0.35411,-0.15762,22.862,-8.481
3230.631,-0.34331,-0.14831,23.547,-8.120
3236.436,-0.33691,-0.13368,24.059,-7.405
3242.242,-0.33166,-0.12473,24.441,-6.972
3248.048,-0.33308,-0.11092,24.499,-6.199
3253.854,-0.32625,-0.10054,24.970,-5.683
3259.660,-0.32511,-0.09104,25.111,-5.161
3265.465,-0.32376,-0.07895,25.275,-4.489
3271.271,-0.31971,-0.06687,25.580,-3.830
3277.077,-0.31586,-0.05567,25.860,-3.209
3282.883,-0.30861,-0.04276,26.335,-2.495
3288.689,-0.30094,-0.03072,26.825,-1.814
3294.494,-0.29152,-0.02034,27.409,-1.219
3300.300,-0.27998,-0.01073,28.121,-0.655
3306.106,-0.26890,-0.00443,28.807,-0.275
3311.912,-0.25728,0.00062,29.537,0.039
3317.718,-0.24649,0.00287,30.225,0.185
3323.524,-0.23499,0.00049,30.973,0.032
3329.329,-0.22551,-0.00217,31.598,-0.145
3335.135,-0.21815,-0.00467,32.090,-0.315
3340.941,-0.21236,-0.01079,32.477,-0.734
3346.747,-0.20924,-0.01990,32.674,-1.361
3352.553,-0.21011,-0.02505,32.602,-1.710
3358.358,-0.21422,-0.02705,32.316,-1.834
3364.164,-0.21948,-0.03064,31.950,-2.059
3369.970,-0.22420,-0.03203,31.630,-2.136
3375.776,-0.22989,-0.03217,31.252,-2.125
3381.582,-0.24015,-0.02674,30.598,-1.738
3387.387,-0.24162,-0.02164,30.515,-1.403
3393.193,-0.24536,-0.01662,30.284,-1.071
3398.999,-0.24497,-0.00531,30.322,-0.342
3404.805,-0.24718,0.00247,30.181,0.159
3410.611,-0.24264,0.01115,30.467,0.722
3416.416,-0.23643,0.01887,30.859,1.234
3422.222,-0.22867,0.02706,31.349,1.792
3428.028,-0.21697,0.03081,32.119,2.079
3433.834,-0.20656,0.03248,32.820,2.230
3439.640,-0.19327,0.03491,33.732,2.449
3445.445,-0.18554,0.02774,34.304,1.973
3451.251,-0.17412,0.02367,35.136,1.716
3457.057,-0.16812,0.01193,35.599,0.875
3462.863,-0.16376,-0.00277,35.928,-0.204
3468.669,-0.15928,-0.00970,36.254,-0.722
3474.474,-0.16406,-0.02481,35.867,-1.830
3480.280,-0.16817,-0.03465,35.529,-2.537
3486.086,-0.17510,-0.04347,34.983,-3.144
3491.892,-0.18490,-0.05209,34.233,-3.703
3497.698,-0.19636,-0.05557,33.407,-3.874
3503.504,-0.20846,-0.05235,32.595,-3.578
3509.309,-0.21912,-0.04998,31.889,-3.357
3515.115,-0.23124,-0.04369,31.117,-2.878
3520.921,-0.23586,-0.03564,30.848,-2.331
3526.727,-0.24310,-0.02660,30.407,-1.721
3532.533,-0.24328,-0.01324,30.423,-0.857
3538.338,-0.24401,-0.00616,30.383,-0.398
3544.144,-0.24227,0.00225,30.498,0.146
3549.950,-0.23463,0.00845,30.992,0.554
3555.756,-0.22586,0.01436,31.564,0.955
3561.562,-0.21496,0.01410,32.296,0.955
3567.367,-0.20596,0.01314,32.911,0.903
